|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 3     | 24   | The Witch of Endor                                                                                               | Clarence Larkin                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 3     | 26   | Rapture Imminency                                                                                                | Jack Kinsella                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 3     | 29   | The Book of the Unmentioned God                                                                                  | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 3    | Jerusalem's Temple Mount...                                                                                      | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 4    | The PROPHETIC GATES of JERUSALEM                                                                                 | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 11   | Gary Stearman Answers Biblical Questions                                                                         | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 14   | Power of the Dark Side                                                                                           | Dr. Michael K. Lake                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 22   | What is the Green Line?                                                                                          | Daniel M. Wright                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 26   | When Israel Is Living Securely                                                                                   | Kit R. Olsen                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 32   | Getting Israel Right                                                                                             | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 36   | Reader Feedback                                                                                                  | Fellow Prophecy Watchers Like You! (Prophecy Watchers Just Like You) |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 4     | 37   | The Leper King                                                                                                   | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 3    | It's Easy to Set a Date                                                                                          | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 4    | Nearing the End of This Dispensation                                                                             | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 11   | Gary Stearman Answers Your Biblical Questions                                                                    | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 14   | 2Thessalonians 2:3a Apostasy or Rapture?                                                                         | Pastor Andy Woods (Andy Woods)                                       |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 22   | Waking Up in the Tribulation                                                                                     | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 26   | The Great Tribulation                                                                                            | Dr. David R. Reagan (David Reagan)                                   |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 29   | The Purple Mystery                                                                                               | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 32   | Secrets of the Man Clothed in Linen                                                                              | Russ Breault                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 5     | 36   | Reader Feedback                                                                                                  | Prophecy Watchers Just Like You! (Prophecy Watchers Just Like You)   |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 3    | Jubilee...                                                                                                       | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 4    | Pentecost 2017: Reviewing the Rapture                                                                            | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 11   | Gary Stearman Answers Biblical Questions                                                                         | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 14   | The Miraculous 1,800-Year Drought: When God Shuts the Heavens                                                    | Rabbi Menachem Kohen                                                 |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 22   | The Six-Day War and the Liberation of Jerusalem                                                                  | Daniel M. Wright                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 26   | Are We Rapidly Approaching The End of the Age?                                                                   | Michael Hile                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 29   | Afikomen Mystery                                                                                                 | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 32   | Order in the Curt: The Missing Attorney                                                                          | Demory Green                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 6     | 36   | Reader Feedback                                                                                                  | Prophecy Watchers Just Like You! (Prophecy Watchers Just Like You)   |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 7     | 3    | Date Setting                                                                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 7     | 4    | Peter, Paul and the Church                                                                                       | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 7     | 11   | Gary Stearman Answers Biblical Questions                                                                         | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 7     | 14   | The True Content of the False Covenant of the Tribulation                                                        | Bill Salus                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 7     | 26   | Why Should Christians Study the Tribulation?                                                                     | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 7     | 29   | The Mystery of the Tzippurim                                                                                     | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 7     | 32   | Order in the Court: The Missing Venue (Part 2)                                                                   | Demory Green                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 7     | 36   | Reader Feedback                                                                                                  | Prophecy Watchers Just Like You! (Prophecy Watchers Just Like You)   |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 8     | 3    | Once Again...                                                                                                    | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 8     | 4    | The Prophecy of the Wolf                                                                                         | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 8     | 11   | Gary Stearman Answers Biblical Questions                                                                         | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 8     | 14   | The Fallen Angels                                                                                                | Clarence Larkin                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 8     | 26   | Super Heroes and Super Heresies                                                                                  | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 8     | 29   | The Syrian War Prophecy                                                                                          | Dr. Ken Johnson (Ken Johnson)                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 8     | 32   | The Highway of Heaven (Part 3)                                                                                   | Demory Green                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 8     | 36   | The Prophecy Boy                                                                                                 | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 9     | 3    | This September 21ST Letter from Gary                                                                             | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 9     | 4    | Zion - The Rock, the Stone and the Marker                                                                        | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 9     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 9     | 14   | Fatima - Miracle of the Sun or a Harbinger of Deception?                                                         | L.A. Marzulli                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 9     | 17   | The Mystery of the Wolf                                                                                          | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 9     | 26   | Global Warming                                                                                                   | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 9     | 32   | Supernatural - The Gospel Behind the Curtain (Part 4)                                                            | Demory Green                                                         |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 9     | 36   | Reader Feedback                                                                                                  | Fellow Prophecy Watchers Like You! (Prophecy Watchers Just Like You) |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 3    | Our Central Goal Letter from Gary                                                                                | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 4    | The Antichrist's Society                                                                                         | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 14   | This is a Privilege                                                                                              | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 20   | Blessed Hope Prophecy Forum 33 Speaker Bios                                                                      |                                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 22   | Will the Next Jerusalem Temple Fulfill Ezekiel 40-48?                                                            | Daniel M. Wright                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 26   | Jerusalem: A Burden to the Nations (Part 1)                                                                      | Bill Salus                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 33   | How to Multiply Bread                                                                                            | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 10    | 34   | Last Days Apostasy of the Church (Part 1)                                                                        | Andy Woods                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 11    | 3    | Watchful Waiting... Letter from Gary                                                                             | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 11    | 4    | Solomon's Strange Prophecy of the Evil Generation                                                                | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 11    | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 11    | 14   | The Nature of the Lord's Return                                                                                  | Dr. David Reagan                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 11    | 22   | Reader Feedback                                                                                                  | Prophecy Watchers Just Like You                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 11    | 26   | A Most Unwelcome Leader                                                                                          | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 11    | 33   | The Greek Redemption                                                                                             | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 11    | 34   | The Last Days Apostasy of the Church (Part 2)                                                                    | Andy Woods                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 12    | 3    | Christmas 2017... Letter from Gary                                                                               | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 12    | 4    | Mysteries of the Sacred Number Eight                                                                             | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 12    | 14   | Israel and the Rapture                                                                                           | Jack W. Langford (Jack Langford)                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 12    | 17   | Christmas Eve 1968 Remembering Apollo 8                                                                          | Daniel M. Wright                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 12    | 22   | Reader Feedback                                                                                                  | Prophecy Watchers Just Like You                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 12    | 26   | A Matter of Choice                                                                                               | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 12    | 33   | The Temples of Desecration                                                                                       | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2017 | 12    | 34   | The Last Days Apostasy of the Church (Par 3)                                                                     | Andy Woods                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 1     | 3    | Embassy Move? Letter From Gary                                                                                   | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 1     | 4    | The New Testament in Three Equal Parts                                                                           | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 1     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 1     | 14   | Fatima: Strange Phenomenon                                                                                       | L.A. Marzulli                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 1     | 22   | Reader Feedback                                                                                                  | Prophecy Watchers Just Like You                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 1     | 26   | Ancient Testaments of the Patriarchs                                                                             | Ken Johnson, Th.D. (Ken Johnson)                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 1     | 33   | The Song of the Stone                                                                                            | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 1     | 34   | Zechariah: A Pattern for Prophectic Interpretation                                                               | Dr. David Schnittger                                                 |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 2     | 3    | A Century Later... Letter From Gary                                                                              | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 2     | 4    | God, Money, Satan and Prophecy                                                                                   | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 2     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 2     | 14   | A Crisis of Truth                                                                                                | Steve Schmutzer                                                      |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 2     | 22   | Rescue the Perishing                                                                                             | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 2     | 26   | The Two Judgments of End Times Babylon                                                                           | Bill Salus                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 2     | 33   | The End of the Scroll                                                                                            | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 2     | 34   | Trumpocalypse                                                                                                    | Paul McGuire && Troy Anderson                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 3     | 3    | A Historical Discussion Is Being Revive... Letter From Gary                                                      | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 3     | 4    | The Dragon's Starring Role                                                                                       | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 3     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 3     | 20   | The Amazing History of Lucifer Son of the Dawn                                                                   | Jack W. Langford (Jack Langford)                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 3     | 26   | God's People Are Destroyed For Lack of Knowledge                                                                 | Brent Miller, Sr. (Brent Miller Sr.)                                 |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 3     | 33   | The Ishmael Mystery                                                                                              | Rabbi Jonathan Cahn                                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 4     | 3    | In 1Corinthians, Paul Spoke of... Letter From Gary                                                               | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 4     | 4    | Solving the Afikomen Mystery                                                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 4     | 8    | The 2nd Annual Blessed Hope Prophecy Forum Coming to Norman, OK in October 2018                                  | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 4     | 11   | Ask Gary Stearman Solid Biblical Answers to Reader Questions                                                     | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 4     | 20   | The Amazing History of Lucifer Son of the Dawn - Part 2                                                          | Jack W. Langford (Jack Langford)                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 4     | 26   | DNA Report: Elongated Skulls of Peru                                                                             | L.A. Marzulli                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2018 | 4     | 33   | The Mystery of the Triangles                                                                                     | Rabbi Jonathan Cahn                                                  |
